Date,AE_0,AE_1,AE_2
2016-03-31,0.49106362,0.38023922,0.57341224
2016-04-01,0.45574963,0.34624577,0.5190998
2016-04-04,0.4966136,0.36937186,0.5551376
2016-04-05,0.5234478,0.38255292,0.57472616
2016-04-06,0.44862306,0.359193,0.54176766
2016-04-07,0.5279201,0.38303372,0.57516736
2016-04-08,0.47241953,0.39452022,0.597673
2016-04-11,0.4769167,0.39155293,0.5926454
2016-04-12,0.43627462,0.3737733,0.5670104
2016-04-13,0.45224565,0.36071315,0.544052
2016-04-14,0.47412932,0.35750458,0.5369464
2016-04-15,0.4852152,0.38814017,0.58658975
2016-04-18,0.46884277,0.3841329,0.5813864
2016-04-19,0.47012654,0.41500676,0.6294038
2016-04-20,0.48253098,0.3866813,0.58445454
2016-04-21,0.5040306,0.3620026,0.54225314
2016-04-22,0.44740263,0.336116,0.5021147
2016-04-25,0.49657008,0.39158553,0.59123343
2016-04-26,0.4636549,0.38519186,0.5834807
2016-04-27,0.47140497,0.36343136,0.54714864
2016-04-28,0.5092838,0.40050173,0.60432583
2016-04-29,0.5084337,0.41074625,0.62018305
2016-05-02,0.45684102,0.37087402,0.56065655
2016-05-03,0.5254088,0.35345748,0.5261219
2016-05-04,0.49712285,0.35954267,0.5386332
2016-05-05,0.4762631,0.3502313,0.5243765
2016-05-06,0.4798035,0.38189757,0.576951
2016-05-09,0.46554536,0.33442318,0.49773306
2016-05-10,0.45354992,0.38265476,0.5801567
2016-05-11,0.5039565,0.39999455,0.60392714
2016-05-12,0.4813868,0.3639029,0.5471755
2016-05-13,0.50605005,0.3639351,0.5453455
2016-05-16,0.45732608,0.37603366,0.56910646
2016-05-17,0.5091798,0.39201954,0.5909837
2016-05-18,0.49242583,0.36008507,0.539909
2016-05-19,0.47986344,0.3388021,0.50430363
2016-05-20,0.45794085,0.36613816,0.55270785
2016-05-23,0.47813267,0.36076456,0.54214954
2016-05-24,0.4413492,0.34949762,0.5258187
2016-05-25,0.45153388,0.38075748,0.57724035
2016-05-26,0.4712391,0.38030142,0.57500887
2016-05-27,0.46973357,0.36005792,0.541602
2016-05-30,0.4812023,0.36920673,0.5560364
2016-05-31,0.48355657,0.36126897,0.542584
2016-06-01,0.47247744,0.37662303,0.5689204
2016-06-02,0.47993526,0.38150153,0.5762995
2016-06-03,0.48674008,0.424663,0.6425876
2016-06-06,0.46210104,0.38504016,0.5833539
2016-06-07,0.46057525,0.3683417,0.5561742
2016-06-08,0.48902154,0.4128578,0.6247965
2016-06-09,0.49614093,0.368425,0.55360025
2016-06-10,0.524092,0.3783128,0.5677783
2016-06-13,0.5203887,0.38713104,0.58234006
